Time,Open,High,Low,Last,Change,Volume
3/11/2020,0.009469,0.009596,0.009467,0.009582,0.000113,1769
3/10/2020,0.009763,0.009791,0.00945,0.009469,-0.000294,2116
3/9/2020,0.009494999,0.009869999,0.009494999,0.009763,0.000273,2576
3/6/2020,0.009422,0.009516999,0.009407,0.00949,6.80E-05,1197
3/5/2020,0.0093,0.009427,0.009287,0.009422,0.000122,1220
3/4/2020,0.009330999,0.009351999,0.009289999,0.0093,-3.10E-05,1245
3/3/2020,0.00923,0.009338,0.009217,0.009330999,0.000100999,1170
3/2/2020,0.009319,0.009319,0.009214,0.00923,-2.10E-05,1276
2/28/2020,0.009119,0.009295,0.009119,0.009251,0.000132,1131
2/27/2020,0.009055,0.009119,0.009055,0.009119,6.40E-05,1105
2/26/2020,0.009077,0.009077,0.009037,0.009055,-2.20E-05,1091
2/25/2020,0.009029,0.009093,0.009008999,0.009077,4.80E-05,1185
2/24/2020,0.008982,0.009055999,0.008958,0.009029,6.90E-05,1319
2/21/2020,0.008917999,0.008962,0.008917999,0.008959999,4.20E-05,1361
2/20/2020,0.008983,0.008993,0.008916,0.008917999,-6.50E-05,1433
2/19/2020,0.009101999,0.009101999,0.008965,0.008983,-0.000118999,1556
2/18/2020,0.009097,0.009114,0.009097,0.009101999,5.00E-06,1394
2/17/2020,0.009103999,0.009107,0.009097,0.009097,-1.30E-05,1395
2/14/2020,0.009106,0.00911,0.009101999,0.00911,4.00E-06,1410
2/13/2020,0.009083999,0.009115,0.009083999,0.009106,2.20E-05,1412
2/12/2020,0.009107,0.009107,0.009083,0.009083999,-2.30E-05,1419
2/11/2020,0.009113,0.009113,0.009098,0.009107,-6.00E-06,1366
2/10/2020,0.009118,0.00912,0.009103999,0.009113,4.00E-06,1456
2/7/2020,0.009094,0.009123,0.009091999,0.009109,1.50E-05,1386
2/6/2020,0.009107,0.009107,0.009094,0.009094,-1.30E-05,1397
2/5/2020,0.009132,0.009141999,0.009107,0.009107,-2.50E-05,1376
2/4/2020,0.0092,0.009206,0.009132,0.009132,-6.80E-05,1420
2/3/2020,0.009222,0.009225,0.009194,0.0092,-2.40E-05,1429
1/31/2020,0.009178,0.009225,0.009168,0.009223999,4.60E-05,1196
1/30/2020,0.009167,0.009203,0.009167,0.009178,1.10E-05,1294
1/29/2020,0.009161,0.009168,0.009156,0.009167,6.00E-06,1345
1/28/2020,0.009179,0.009187999,0.009161,0.009161,-1.80E-05,1381
1/27/2020,0.009184999,0.009188999,0.009167,0.009179,2.90E-05,1396
1/24/2020,0.009133,0.009153,0.009122,0.009149999,1.70E-05,1285
1/23/2020,0.009098,0.009144999,0.009098,0.009133,3.50E-05,1410
1/22/2020,0.009103999,0.009103999,0.009087,0.009098,-6.00E-06,1412
1/21/2020,0.009077,0.009103999,0.009076,0.009103999,2.70E-05,1430
1/20/2020,0.009085,0.009085,0.009077,0.009077,-1.00E-06,1452
1/17/2020,0.00908,0.00908,0.009071,0.009078,-2.00E-06,1434
1/16/2020,0.009097,0.009097,0.00908,0.00908,-1.70E-05,1423
1/15/2020,0.00909,0.009103999,0.00909,0.009097,7.00E-06,1411
1/14/2020,0.009098,0.009098,0.009079,0.00909,-8.00E-06,1413
1/13/2020,0.009132,0.009132,0.009098,0.009098,-3.30E-05,1467
1/10/2020,0.009133,0.009133,0.00912,0.009130999,-2.00E-06,1413
1/9/2020,0.009164,0.009167,0.009129,0.009133,-3.10E-05,1439
1/8/2020,0.009219999,0.009281999,0.009157,0.009164,-5.60E-05,1532
1/7/2020,0.009222,0.009229,0.009209,0.009219999,-1.00E-06,1435
1/6/2020,0.009265,0.009272,0.009219999,0.009221,-3.10E-05,1500
1/3/2020,0.009214,0.009263,0.009209,0.009252,3.80E-05,1489
1/2/2020,0.009195999,0.009233999,0.009188999,0.009214,1.10E-05,1446
12/31/2019,0.009183999,0.009213,0.009183999,0.009203,1.90E-05,1452
12/30/2019,0.009134999,0.009187999,0.009133999,0.009183999,4.90E-05,1437
12/27/2019,0.00912,0.009134999,0.00912,0.009134999,1.50E-05,1452
12/26/2019,0.009139,0.009139,0.00912,0.00912,-2.10E-05,1446
12/24/2019,0.009139,0.009141,0.009139,0.009141,2.00E-06,1438
12/23/2019,0.009136,0.009139,0.009134999,0.009139,5.00E-06,1432
12/20/2019,0.009147,0.009147,0.009133999,0.009133999,-1.30E-05,1425
12/19/2019,0.009126,0.009153,0.009121,0.009147,2.10E-05,1465
12/18/2019,0.009130999,0.009134999,0.009125,0.009126,-5.00E-06,1432
12/17/2019,0.009122,0.009130999,0.009122,0.009130999,1.00E-05,1434
12/16/2019,0.009144999,0.009144999,0.009121,0.009121,-2.60E-05,1464
12/13/2019,0.009147,0.009149999,0.009119,0.009147,0,1406
12/12/2019,0.009212,0.009214,0.009141999,0.009147,-6.50E-05,1346
12/11/2019,0.009196999,0.009212,0.009191,0.009212,1.50E-05,1438
12/10/2019,0.009207,0.00921,0.009196999,0.009196999,-1.00E-05,1412
12/9/2019,0.009206,0.009216,0.009205,0.009207,0,1460
12/6/2019,0.009194999,0.00921,0.009184999,0.009207,1.20E-05,1405
12/5/2019,0.009180999,0.009196999,0.009178,0.009194999,1.40E-05,1424
12/4/2019,0.009207,0.009216,0.00918,0.009180999,-2.60E-05,1430
12/3/2019,0.009174,0.009211,0.00916,0.009207,3.30E-05,1399
12/2/2019,0.009129,0.009174,0.009117,0.009174,3.90E-05,1419
11/29/2019,0.009132,0.009134999,0.009122,0.009134999,3.00E-06,1427
11/28/2019,0.009126999,0.00914,0.009126999,0.009132,5.00E-06,1428
11/27/2019,0.009166,0.009166,0.009126999,0.009126999,-3.90E-05,1463
11/26/2019,0.009179,0.009179,0.009163,0.009166,-1.30E-05,1453
11/25/2019,0.009201,0.009201,0.009179,0.009179,-2.30E-05,1476
11/22/2019,0.009205,0.009216,0.009201,0.009202,-3.00E-06,1415
11/21/2019,0.009207,0.009229,0.009204,0.009205,-2.00E-06,1443
11/20/2019,0.009213,0.009222,0.0092,0.009207,-6.00E-06,1432
11/19/2019,0.009204,0.009214,0.009191,0.009213,9.00E-06,1452
11/18/2019,0.009191999,0.009209,0.009171,0.009204,1.40E-05,1487
11/15/2019,0.009223999,0.009223999,0.00919,0.00919,-3.40E-05,1464
11/14/2019,0.00919,0.00923,0.009188999,0.009223999,3.40E-05,1456
11/13/2019,0.009174,0.009196999,0.009165,0.00919,1.60E-05,1470
11/12/2019,0.00917,0.009174,0.009153,0.009174,4.00E-06,1471
11/11/2019,0.009163,0.009176,0.009158,0.00917,1.50E-05,1479
11/8/2019,0.009149999,0.009161,0.009137999,0.009155,5.00E-06,1456
11/7/2019,0.009176,0.009196999,0.009137,0.009149999,-2.60E-05,1506
11/6/2019,0.009157,0.009182,0.009157,0.009176,1.90E-05,1458
11/5/2019,0.009207,0.009207,0.009157,0.009157,-5.00E-05,1451
11/4/2019,0.009237999,0.009237999,0.009207,0.009207,-3.30E-05,1477
11/1/2019,0.009258,0.009261,0.009236,0.00924,-1.80E-05,1468
10/31/2019,0.009187,0.009258,0.009186,0.009258,7.10E-05,1467
10/30/2019,0.009183999,0.00919,0.009155,0.009187,3.00E-06,1433
10/29/2019,0.009175,0.009183999,0.009172,0.009183999,9.00E-06,1423
10/28/2019,0.009202,0.009202,0.009175,0.009175,-2.20E-05,1464
10/25/2019,0.009206,0.009209,0.009195999,0.009196999,-9.00E-06,1431
10/24/2019,0.009203,0.00921,0.009199,0.009206,3.00E-06,1403
10/23/2019,0.009215,0.009230999,0.009203,0.009203,-1.20E-05,1449
10/22/2019,0.009207,0.009215,0.009203,0.009215,8.00E-06,1384
10/21/2019,0.009221,0.009225,0.009206,0.009207,-1.30E-05,1467
10/18/2019,0.009205,0.009219999,0.009201,0.009219999,1.50E-05,1411
10/17/2019,0.009195999,0.009211,0.009183999,0.009205,9.00E-06,1418
10/16/2019,0.009186,0.009201,0.009186,0.009195999,1.00E-05,1395
10/15/2019,0.009223999,0.009241,0.009186,0.009186,-3.80E-05,1446
10/14/2019,0.009229,0.009249,0.009219999,0.009223999,-1.00E-06,1487
10/11/2019,0.009263,0.009266,0.00921,0.009225,-3.80E-05,1431
10/10/2019,0.009303,0.009335999,0.009263,0.009263,-4.00E-05,1484
10/9/2019,0.009335,0.009345,0.009297,0.009303,-3.20E-05,1439
10/8/2019,0.009318,0.009355,0.009311,0.009335,1.70E-05,1390
10/7/2019,0.009354,0.009374999,0.00931,0.009318,-3.70E-05,1502
10/4/2019,0.009356,0.009373999,0.009338,0.009355,-1.00E-06,1403
10/3/2019,0.009329,0.009383,0.009323999,0.009356,2.70E-05,1382
10/2/2019,0.009281999,0.009334,0.009272,0.009329,4.70E-05,1318
10/1/2019,0.009248,0.009283999,0.009223999,0.009281999,3.40E-05,1345
9/30/2019,0.009262,0.009273999,0.009248,0.009248,-1.70E-05,1423
9/27/2019,0.009269,0.009281999,0.009247,0.009265,-4.00E-06,1382
9/26/2019,0.009275,0.009301,0.009267,0.009269,-6.00E-06,1409
9/25/2019,0.00934,0.00934,0.009273,0.009275,-6.50E-05,1425
9/24/2019,0.009301,0.009342,0.009280999,0.00934,3.90E-05,1385
9/23/2019,0.009281999,0.009312,0.009281999,0.009301,8.00E-06,1463
9/20/2019,0.009257,0.009293,0.009256,0.009293,3.60E-05,1438
9/19/2019,0.009222,0.009269999,0.009222,0.009257,3.50E-05,1513
9/18/2019,0.009245,0.009245,0.009222,0.009222,-2.30E-05,1375
9/17/2019,0.009249,0.00925,0.009233,0.009245,-4.00E-06,1435
9/16/2019,0.009288,0.009296,0.009249,0.009249,2.00E-06,1523
9/13/2019,0.009247,0.009258999,0.00924,0.009247,0,1439
9/12/2019,0.009275,0.009293,0.009246,0.009247,-2.80E-05,1476
9/11/2019,0.009299,0.009299,0.009275,0.009275,-2.40E-05,1465
9/10/2019,0.009326,0.009326,0.009299,0.009299,-2.70E-05,1443
9/9/2019,0.009358,0.009358,0.009326,0.009326,-2.80E-05,1493
9/6/2019,0.009346,0.009372,0.009341001,0.009354,8.00E-06,1464
9/5/2019,0.009399,0.009399,0.00933,0.009346,-5.30E-05,1502
9/4/2019,0.009435,0.009442,0.009399,0.009399,-3.60E-05,1490
9/3/2019,0.009416999,0.00945,0.009403,0.009435,1.80E-05,1449
9/2/2019,0.009434,0.009434,0.009401999,0.009416999,7.00E-06,1530
8/30/2019,0.009385,0.009418,0.009385,0.009409999,2.50E-05,1468
8/29/2019,0.009424999,0.009442,0.009376999,0.009385,-4.00E-05,1515
8/28/2019,0.009453,0.009458,0.009419,0.009424999,-2.80E-05,1459
8/27/2019,0.009423,0.009462999,0.009420999,0.009453,3.00E-05,1481
8/26/2019,0.009527,0.009563,0.009415,0.009423,-6.10E-05,1715
8/23/2019,0.009395,0.009493,0.009372,0.009484,8.90E-05,1402
8/22/2019,0.00938,0.009404,0.00938,0.009395,1.50E-05,1457
8/21/2019,0.009409999,0.009409999,0.00938,0.00938,-3.00E-05,1473
8/20/2019,0.009377999,0.009409999,0.009376,0.009409999,3.20E-05,1455
8/19/2019,0.009403,0.009405999,0.009376999,0.009377999,-2.60E-05,1530
8/16/2019,0.009426,0.009426,0.009394,0.009404,-2.30E-05,1480
8/15/2019,0.009436,0.009453,0.009393,0.009427,-9.00E-06,1455
8/14/2019,0.009370999,0.009455,0.009369999,0.009436,6.50E-05,1439
8/13/2019,0.009494999,0.009509999,0.009355,0.009370999,-0.000124,1514
8/12/2019,0.009465,0.009512,0.009465,0.009494999,3.20E-05,1653
8/9/2019,0.00943,0.009492,0.009426,0.009462999,3.30E-05,1478
8/8/2019,0.009412999,0.009436,0.009412,0.00943,1.70E-05,1525
8/7/2019,0.009388,0.009470999,0.009388,0.009412999,2.50E-05,1485
8/6/2019,0.009432,0.009469999,0.009348,0.009388,-5.00E-05,1635
8/5/2019,0.00938,0.009445,0.009376999,0.009438,5.80E-05,1584
8/2/2019,0.009308999,0.009382,0.009301,0.00938,6.50E-05,1556
8/1/2019,0.009188999,0.009315,0.009152,0.009315,0.000121,1473
7/31/2019,0.009206,0.009211,0.009182,0.009194,-1.40E-05,1409
7/30/2019,0.009187999,0.009214,0.009183,0.009208,1.60E-05,1477
7/29/2019,0.009199,0.009216,0.009186,0.009191999,-7.00E-06,1469
7/26/2019,0.009199,0.009205,0.009194999,0.009199,-6.00E-06,1467
7/25/2019,0.009241,0.009249,0.009199,0.009205,-3.80E-05,1454
7/24/2019,0.009237999,0.009257,0.009237999,0.009242999,3.00E-06,1473
7/23/2019,0.009269999,0.009269999,0.009237999,0.00924,-3.00E-05,1473
7/22/2019,0.009276,0.009277999,0.009257,0.009269999,-1.00E-05,1477
7/19/2019,0.009319999,0.009319999,0.009267,0.00928,-4.00E-05,1517
7/18/2019,0.009263,0.009319999,0.009258,0.009319999,5.70E-05,1538
7/17/2019,0.00924,0.009264,0.009232,0.009263,2.40E-05,1474
7/16/2019,0.009267,0.009273999,0.009227999,0.009238999,-2.80E-05,1500
7/15/2019,0.009268,0.009276,0.009251,0.009267,-2.00E-06,1477
7/12/2019,0.009218,0.009276,0.009208,0.009269,5.20E-05,1518
7/11/2019,0.009218,0.009271,0.009215,0.009217,-3.00E-06,1523
7/10/2019,0.009187,0.009229,0.009176,0.009219999,3.40E-05,1465
7/9/2019,0.009198,0.009201,0.009178,0.009186,-1.10E-05,1467
7/8/2019,0.009225,0.009234999,0.009191999,0.009196999,-2.10E-05,1497
7/5/2019,0.009275,0.009276999,0.009206,0.009218,-5.80E-05,1496
7/4/2019,0.009275,0.009283999,0.009272,0.009276,2.00E-06,1446
7/3/2019,0.009268,0.009299,0.009267,0.009273999,6.00E-06,1486
7/2/2019,0.009223999,0.009277999,0.009219,0.009268,4.60E-05,1499
7/1/2019,0.009248,0.009266,0.009214,0.009222,-4.60E-05,1590
6/28/2019,0.009275,0.009289999,0.009266,0.009268,-7.00E-06,1478
6/27/2019,0.009280999,0.009284999,0.009249,0.009275,-2.00E-06,1585
6/26/2019,0.009327999,0.009335999,0.009273,0.009276999,-5.30E-05,1898
6/25/2019,0.009319,0.009365,0.009311,0.00933,1.00E-05,3798
6/24/2019,0.009312999,0.009323,0.009301,0.009319999,2.00E-06,3414
6/21/2019,0.009316999,0.009341001,0.009283,0.009318,-1.00E-06,3711
6/20/2019,0.009248,0.009326,0.009248,0.009319,6.90E-05,3695
6/19/2019,0.009219999,0.009264,0.009208,0.00925,3.00E-05,3243
6/18/2019,0.009209,0.009251,0.009203,0.009219999,1.10E-05,3830
6/17/2019,0.009214,0.009222,0.009198,0.009209,-4.00E-06,3658
6/14/2019,0.009225,0.009245,0.00921,0.009213,-1.50E-05,3209
6/13/2019,0.009216,0.009244,0.009215,0.009227999,1.20E-05,3267
6/12/2019,0.009216,0.00924,0.009212,0.009216,1.00E-06,3433
6/11/2019,0.009222,0.009229,0.009191999,0.009215,-5.00E-06,3294
6/10/2019,0.00921,0.009237999,0.009199,0.009219999,-2.30E-05,3371
6/7/2019,0.009219999,0.009269,0.009208,0.009242999,1.90E-05,3443
6/6/2019,0.009222,0.009256,0.009212,0.009223999,9.99E-07,3693
6/5/2019,0.009248,0.009273999,0.009219,0.009223,-2.70E-05,3418
6/4/2019,0.00925,0.009271,0.00923,0.00925,-5.00E-06,3532
6/3/2019,0.009232,0.009268,0.009222,0.009255,2.10E-05,3244
5/31/2019,0.009121,0.009233999,0.009121,0.009233999,0.000109999,3815
5/30/2019,0.009125,0.009133,0.009098,0.009124,4.00E-06,3856
5/29/2019,0.009141999,0.009161,0.009117,0.00912,-2.00E-05,3553
5/28/2019,0.009133999,0.009156,0.009122,0.00914,1.00E-05,3358
5/27/2019,0.009148999,0.009149999,0.009126,0.00913,-2.00E-05,2853
5/24/2019,0.009123,0.009149999,0.009113,0.009149999,2.30E-05,3718
5/23/2019,0.009059,0.009134999,0.009059,0.009126999,6.20E-05,3248
5/22/2019,0.009051,0.009071,0.00904,0.009065,1.80E-05,3534
5/21/2019,0.009089,0.009089,0.009036,0.009047,-4.20E-05,3332
5/20/2019,0.009077,0.009106,0.009066001,0.009089,4.00E-06,3581
5/17/2019,0.009105,0.009132,0.009077,0.009085,-1.60E-05,3686
5/16/2019,0.009123,0.009144999,0.009094999,0.009101,-2.60E-05,3419
5/15/2019,0.009124,0.00916,0.009116,0.009126999,7.00E-06,3328
5/14/2019,0.009145999,0.009161,0.009111,0.00912,-2.60E-05,3351
5/13/2019,0.009113,0.009171,0.009094999,0.009145999,5.10E-05,3211
5/10/2019,0.00911,0.009132,0.009087999,0.009094999,-1.40E-05,3406
5/9/2019,0.009081,0.009132,0.009081,0.009109,2.70E-05,4843
5/8/2019,0.009067,0.009095999,0.009067,0.009082,1.30E-05,4906
5/7/2019,0.009026,0.009074,0.009023,0.009069,4.80E-05,4936
5/6/2019,0.009041,0.009064,0.009013,0.009021,2.10E-05,5376
5/3/2019,0.008965,0.009001,0.008959999,0.009,3.30E-05,4077
5/2/2019,0.008976,0.008978,0.008955999,0.008966999,-9.00E-06,4491
5/1/2019,0.008972,0.009001999,0.008959999,0.008976,3.00E-06,3503
4/30/2019,0.008955999,0.008988,0.008951999,0.008973001,1.70E-05,4318
4/29/2019,0.008959999,0.008962,0.008936,0.008955999,-5.00E-06,3759
4/26/2019,0.008957,0.008972,0.008937,0.008961,4.00E-06,4354
4/25/2019,0.008912,0.008974,0.008912,0.008957,4.40E-05,4362
4/24/2019,0.008938,0.008951,0.008899,0.008912999,-2.50E-05,4801
4/23/2019,0.008933,0.008952999,0.008927,0.008938,5.00E-06,4593
4/22/2019,0.008936,0.008936,0.00893,0.008933,-1.00E-06,3438
4/19/2019,0.008929,0.008934,0.008928,0.008934,4.00E-06,3329
4/18/2019,0.008923,0.008944,0.008923,0.00893,9.00E-06,4431
4/17/2019,0.008926,0.008932,0.00892,0.008920999,-5.00E-06,3925
4/16/2019,0.008925,0.008938,0.008925,0.008926,2.00E-06,4655
4/15/2019,0.00893,0.008935,0.008921999,0.008924,-3.00E-06,4090
4/12/2019,0.008954,0.008959999,0.008923,0.008927,-2.80E-05,4479
4/11/2019,0.009005,0.009013999,0.008952999,0.008955,-5.30E-05,5123
4/10/2019,0.008996,0.00902,0.008988,0.009008,1.20E-05,4282
4/9/2019,0.008969,0.009008,0.008965,0.008996,2.80E-05,4514
4/8/2019,0.008951999,0.008983,0.008947,0.008967999,1.80E-05,3915
4/5/2019,0.008954,0.008958999,0.008944999,0.00895,-7.00E-06,4115
4/4/2019,0.008967999,0.008979,0.008957,0.008957,-1.10E-05,5164
4/3/2019,0.008982,0.008989,0.008966,0.008967999,-1.40E-05,4438
4/2/2019,0.008979,0.008986,0.008971,0.008982,3.00E-06,5099
4/1/2019,0.009005,0.009018,0.008975,0.008979,-4.10E-05,4794
3/29/2019,0.009036,0.009044,0.009013999,0.00902,-1.50E-05,5261
3/28/2019,0.009045999,0.009086,0.009025,0.009035,-1.20E-05,5310
3/27/2019,0.009036,0.009068,0.009033999,0.009047,8.00E-06,5192
3/26/2019,0.009091,0.009094,0.009036,0.009039,-5.30E-05,5447
3/25/2019,0.009094999,0.00911,0.009072,0.009091999,-3.00E-06,4527
3/22/2019,0.009022,0.009108,0.009018,0.009094999,7.10E-05,4258
3/21/2019,0.00903,0.009064,0.009012,0.009024,-8.00E-06,4547
3/20/2019,0.008976,0.009041,0.008954,0.009032,5.70E-05,4534
3/19/2019,0.008973001,0.008994,0.008971,0.008975,1.00E-06,4470
3/18/2019,0.008974,0.008982,0.008958999,0.008974,6.00E-06,4528
3/15/2019,0.008951999,0.008974,0.008938,0.008967999,1.50E-05,4940
3/14/2019,0.008994999,0.008994999,0.008943,0.008952999,-4.30E-05,5234
3/13/2019,0.008979,0.009005999,0.008973001,0.008996,1.40E-05,4624
