date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2020-04-17,156.9600,157.3300,147.7400,154.1900,154.1900,723974,0.0000,1.0000
2020-04-16,152.8100,159.3381,151.6800,153.9800,153.9800,918159,0.0000,1.0000
2020-04-15,145.1700,152.7600,144.3000,149.9100,149.9100,908447,0.0000,1.0000
2020-04-14,148.5000,157.1300,147.0000,149.0000,149.0000,1569145,0.0000,1.0000
2020-04-13,140.6900,142.7900,137.0700,141.9000,141.9000,634371,0.0000,1.0000
2020-04-09,138.2800,140.8750,137.0000,140.3400,140.3400,1125558,0.0000,1.0000
2020-04-08,132.6600,137.5000,131.8274,135.3200,135.3200,866939,0.0000,1.0000
2020-04-07,137.6000,138.8900,129.1037,131.8200,131.8200,1065972,0.0000,1.0000
2020-04-06,125.9300,133.2200,123.2100,132.4500,132.4500,1047805,0.0000,1.0000
2020-04-03,124.5600,127.0077,118.6000,120.4700,120.4700,1011423,0.0000,1.0000
2020-04-02,120.3100,126.3000,117.7100,125.0800,125.0800,1251204,0.0000,1.0000
2020-04-01,127.0900,134.5000,124.1400,126.1400,126.1400,1230679,0.0000,1.0000
2020-03-31,137.3700,142.8700,134.2650,136.5400,136.5400,1167993,0.0000,1.0000
2020-03-30,133.1500,139.6400,131.8000,136.4300,136.4300,815804,0.0000,1.0000
2020-03-27,128.7700,135.5000,126.3200,132.1100,132.1100,1435264,0.0000,1.0000
2020-03-26,136.0000,143.1545,131.0000,133.1100,133.1100,1228322,0.0000,1.0000
2020-03-25,136.1400,145.4800,130.2600,134.3000,134.3000,1474853,0.0000,1.0000
2020-03-24,132.8500,141.5724,132.0100,136.4300,136.4300,1555055,0.0000,1.0000
2020-03-23,120.3800,127.4700,113.3830,125.5700,125.5700,1387780,0.0000,1.0000
2020-03-20,123.2200,135.7500,119.3800,120.5000,120.5000,1905262,0.0000,1.0000
2020-03-19,104.6000,127.4600,101.3401,122.1800,122.1800,2435409,0.0000,1.0000
2020-03-18,97.4000,125.5500,96.0000,105.7300,105.7300,4880727,0.0000,1.0000
2020-03-17,101.6800,116.5261,94.1600,114.5200,114.5200,2145054,0.0000,1.0000
2020-03-16,100.0000,103.9200,93.8100,98.9700,98.9700,1885864,0.0000,1.0000
2020-03-13,120.3900,122.0000,107.1391,115.1700,115.1700,1408567,0.0000,1.0000
2020-03-12,109.7400,115.9600,101.0000,111.5500,111.5500,1743318,0.0000,1.0000
2020-03-11,128.9500,130.9000,120.3300,123.8500,123.8500,1343477,0.0000,1.0000
2020-03-10,134.7100,137.0000,125.1200,133.8500,133.8500,1386287,0.0000,1.0000
2020-03-09,139.6500,139.6500,125.0000,127.8500,127.8500,1515887,0.0000,1.0000
2020-03-06,156.4300,156.4300,144.0000,150.1100,150.1100,1421513,0.0000,1.0000
2020-03-05,155.5900,162.9300,155.5900,159.0600,159.0600,864364,0.0000,1.0000
2020-03-04,156.7500,159.4800,154.0000,159.3200,159.3200,887484,0.0000,1.0000
2020-03-03,155.4900,159.9700,149.8000,155.1600,155.1600,1451988,0.0000,1.0000
2020-03-02,152.5000,155.8650,146.1200,155.6400,155.6400,1361008,0.0000,1.0000
2020-02-28,143.1400,152.8000,141.5100,152.5000,152.5000,1410112,0.0000,1.0000
2020-02-27,144.6700,155.0000,141.6500,150.1850,150.1850,1499385,0.0000,1.0000
2020-02-26,149.4900,158.5700,149.1600,151.2600,151.2600,1244108,0.0000,1.0000
2020-02-25,156.7100,159.7900,146.2300,149.3800,149.3800,1436491,0.0000,1.0000
2020-02-24,153.5100,158.3018,148.2500,153.8500,153.8500,1966601,0.0000,1.0000
2020-02-21,176.8700,176.8700,164.4600,164.9000,164.9000,1773173,0.0000,1.0000
2020-02-20,180.1000,182.5700,170.5100,178.1000,178.1000,1121038,0.0000,1.0000
2020-02-19,178.7200,181.9700,177.9000,180.0900,180.0900,1094631,0.0000,1.0000
2020-02-18,171.4900,177.9700,170.2200,176.9000,176.9000,2171572,0.0000,1.0000
2020-02-14,171.0900,174.3300,168.5900,171.3300,171.3300,1321727,0.0000,1.0000
2020-02-13,169.8000,173.4000,169.5100,169.9100,169.9100,1423628,0.0000,1.0000
2020-02-12,168.4400,171.0300,164.2500,170.5900,170.5900,707800,0.0000,1.0000
2020-02-11,166.8400,168.0000,163.8991,166.8100,166.8100,544605,0.0000,1.0000
2020-02-10,163.6500,168.4800,162.8928,166.2500,166.2500,494826,0.0000,1.0000
2020-02-07,164.4000,166.3000,161.0200,164.1100,164.1100,522225,0.0000,1.0000
2020-02-06,164.5400,167.5200,159.0000,163.6100,163.6100,596074,0.0000,1.0000
2020-02-05,173.8000,173.8000,160.2900,163.2100,163.2100,1259711,0.0000,1.0000
2020-02-04,166.7300,173.4600,164.3080,172.1500,172.1500,1268416,0.0000,1.0000
2020-02-03,163.4200,164.7200,157.0000,163.3300,163.3300,838941,0.0000,1.0000
2020-01-31,168.9700,169.0000,161.5200,163.9100,163.9100,1063499,0.0000,1.0000
2020-01-30,157.2800,168.1000,157.0000,167.4300,167.4300,2068782,0.0000,1.0000
2020-01-29,154.0000,162.4800,152.7000,159.3100,159.3100,1445662,0.0000,1.0000
2020-01-28,150.2300,153.5763,149.7700,152.5700,152.5700,526412,0.0000,1.0000
2020-01-27,146.5200,152.2800,145.2000,148.7700,148.7700,890467,0.0000,1.0000
2020-01-24,150.0000,154.4500,149.9900,152.1100,152.1100,962783,0.0000,1.0000
2020-01-23,150.0100,150.6484,147.5400,148.5700,148.5700,536287,0.0000,1.0000
2020-01-22,149.7100,154.2400,149.3600,149.9600,149.9600,941663,0.0000,1.0000
2020-01-21,148.7300,152.8200,147.7500,148.6800,148.6800,1064240,0.0000,1.0000
2020-01-17,152.9100,153.1700,149.1000,149.3900,149.3900,810360,0.0000,1.0000
2020-01-16,153.2600,154.8423,149.6100,151.9000,151.9000,1029117,0.0000,1.0000
2020-01-15,153.2900,157.7900,151.6900,152.3800,152.3800,1392646,0.0000,1.0000
2020-01-14,154.5000,156.4145,151.2210,152.8300,152.8300,1823423,0.0000,1.0000
2020-01-13,150.5700,155.6800,150.0000,152.9100,152.9100,1377290,0.0000,1.0000
2020-01-10,149.3000,150.7600,146.2000,149.2300,149.2300,2764328,0.0000,1.0000
2020-01-09,142.6600,152.0100,142.5400,149.9600,149.9600,4133999,0.0000,1.0000
2020-01-08,138.9000,141.6400,136.2300,140.2700,140.2700,979052,0.0000,1.0000
2020-01-07,140.5000,142.6100,138.2500,138.8600,138.8600,673596,0.0000,1.0000
2020-01-06,132.8800,140.8900,132.7050,140.5000,140.5000,1254823,0.0000,1.0000
2020-01-03,132.4300,136.2200,131.7600,135.2900,135.2900,598563,0.0000,1.0000
2020-01-02,130.1800,134.6700,126.0800,134.3300,134.3300,1166400,0.0000,1.0000
2019-12-31,127.9100,132.1200,127.0100,131.6100,131.6100,768498,0.0000,1.0000
2019-12-30,133.8800,134.6600,128.4528,128.9300,128.9300,904778,0.0000,1.0000
2019-12-27,135.5200,135.8500,132.6300,134.1300,134.1300,441098,0.0000,1.0000
2019-12-26,132.9200,137.4429,132.3100,135.0200,135.0200,710574,0.0000,1.0000
2019-12-24,132.3900,133.0789,130.4743,132.5500,132.5500,501127,0.0000,1.0000
2019-12-23,130.7500,133.2900,130.1100,132.3600,132.3600,641720,0.0000,1.0000
2019-12-20,131.2500,132.6899,129.6600,130.6800,130.6800,836492,0.0000,1.0000
2019-12-19,130.6000,132.9000,128.5700,130.9600,130.9600,861351,0.0000,1.0000
2019-12-18,129.2900,132.3900,128.5600,129.1800,129.1800,1059895,0.0000,1.0000
2019-12-17,133.2200,133.7300,128.1900,129.3900,129.3900,1009981,0.0000,1.0000
2019-12-16,128.9200,132.5200,126.5208,132.2600,132.2600,1362153,0.0000,1.0000
2019-12-13,124.9700,128.8228,124.2000,128.4100,128.4100,1226008,0.0000,1.0000
2019-12-12,127.1300,127.9100,123.6900,124.7300,124.7300,1705146,0.0000,1.0000
2019-12-11,128.5600,129.7450,123.3700,128.0000,128.0000,2327410,0.0000,1.0000
2019-12-10,144.7700,144.8000,126.2800,129.1800,129.1800,7397594,0.0000,1.0000
2019-12-09,130.5000,134.1500,130.3862,131.0100,131.0100,2019214,0.0000,1.0000
2019-12-06,132.3000,132.8700,130.1600,131.1700,131.1700,1168673,0.0000,1.0000
2019-12-05,136.6400,136.6400,131.0800,131.3700,131.3700,1275115,0.0000,1.0000
2019-12-04,142.4100,142.4900,135.1000,136.4800,136.4800,1153706,0.0000,1.0000
2019-12-03,132.5400,143.1600,130.3800,142.6800,142.6800,1384296,0.0000,1.0000
2019-12-02,147.1800,147.1800,134.9800,137.4300,137.4300,1513117,0.0000,1.0000
2019-11-29,149.5700,150.7500,148.3806,148.7000,148.7000,359878,0.0000,1.0000
2019-11-27,149.0800,150.2100,147.1300,149.7700,149.7700,701243,0.0000,1.0000
2019-11-26,146.7100,151.1300,146.7100,149.6300,149.6300,910566,0.0000,1.0000
2019-11-25,148.2300,149.7462,145.9000,146.8800,146.8800,791983,0.0000,1.0000
2019-11-22,148.1100,148.7500,144.1200,147.9200,147.9200,718830,0.0000,1.0000
